ifo Geschäftsklima Deutschland und seine Komponenten;;;;;;;;
(seit Januar 2005);;;;;;;;
Lange Zeitreihen für das ifo Geschäftsklima Deutschland;;;;;;;;
und seine beiden Komponenten Geschäftslage und -erwartungen ;;;;;;;;
;;;;;;;;
;Deutschland;;;;;;;
;Indexwerte, 2015 = 100, saisonbereinigt;;;Salden, saisonbereinigt;;;ifo Geschäftsunsicherheit;ifo Konjunkturampel
Monat/Jahr; Geschäftsklima;Geschäftslage;Geschäftserwartungen; Geschäftsklima;Geschäftslage;Geschäftserwartungen;Ursprungswerte ab 04/2019;Wahrscheinlichkeit für eine expansive Entwicklung in %
;;;;;;;;
 06/2020;85,3;80,9;89,9;-13,6;-15,7;-11,5;67,9;86,1
 07/2020;89,4;84,3;94,8;-4,6;-8,0;-1,3;66,2;99,9
 08/2020;92,0;87,7;96,6;1,1;-0,3;2,5;65,5;99,2
 09/2020;93,5;89,5;97,6;4,3;4,0;4,6;64,1;96,4
 10/2020;93,0;90,6;95,4;3,2;6,3;0,1;64,4;80,8
 11/2020;91,7;90,3;93,0;0,4;5,8;-4,9;66,0;26,5
 12/2020;93,2;91,8;94,7;3,8;9,1;-1,5;65,4;63,7
 01/2021;90,7;89,6;91,8;-1,7;4,2;-7,5;66,1;11,6
 02/2021;92,7;91,0;94,4;2,7;7,4;-2,0;65,4;70,0
 03/2021;96,2;93,3;99,2;10,3;12,6;8,0;64,2;99,1
 04/2021;96,0;94,1;97,8;9,8;14,5;5,2;64,5;91,8
 05/2021;98,2;95,7;100,8;14,7;18,0;11,4;62,0;98,8
 06/2021;100,9;99,8;102,0;20,5;27,3;13,9;59,9;99,2
 07/2021;100,7;100,5;100,9;20,1;29,1;11,5;60,9;75,9
 08/2021;100,0;101,7;98,4;18,7;31,7;6,4;61,1;33,9
 09/2021;100,1;101,0;99,1;18,7;30,1;7,9;61,5;16,6
 10/2021;98,8;100,6;97,0;16,0;29,3;3,4;60,5;6,0
 11/2021;97,3;99,5;95,1;12,6;26,8;-0,7;62,8;3,4
 12/2021;95,4;97,4;93,4;8,5;21,9;-4,1;62,7;1,3
 01/2022;96,2;96,7;95,7;10,3;20,3;0,7;62,7;20,1
 02/2022;98,6;99,0;98,1;15,4;25,5;5,8;61,7;89,0
 03/2022;90,0;97,2;83,4;-3,2;21,4;-25,2;69,2;1,2
 04/2022;91,2;97,3;85,5;-0,7;21,6;-20,7;67,9;20,0
 05/2022;92,2;99,6;85,4;1,6;27,0;-20,9;66,6;55,2
 06/2022;91,9;99,4;85,1;1,0;26,5;-21,6;65,4;35,0
 07/2022;88,7;97,9;80,3;-6,2;23,0;-31,7;69,0;1,7
 08/2022;89,1;97,7;81,3;-5,2;22,6;-29,6;68,4;8,1
 09/2022;85,7;94,9;77,3;-12,7;16,3;-37,8;70,1;0,3
 10/2022;85,4;94,5;77,1;-13,4;15,3;-38,3;70,2;8,5
 11/2022;86,9;93,4;80,9;-10,0;12,8;-30,4;69,8;52,5
 12/2022;89,3;94,3;84,5;-4,9;14,9;-22,8;68,3;91,2
 01/2023;90,5;94,5;86,7;-2,1;15,3;-18,1;67,2;96,2
 02/2023;91,0;94,2;88,0;-1,0;14,6;-15,5;66,0;95,1
 03/2023;92,7;95,5;90,0;2,6;17,6;-11,3;64,5;98,3
 04/2023;92,9;95,0;90,8;3,0;16,5;-9,7;65,2;92,5
 05/2023;90,9;94,8;87,2;-1,3;15,9;-17,1;65,7;49,4
 06/2023;88,1;93,7;83,0;-7,3;13,4;-26,1;65,2;4,3
 07/2023;87,3;91,3;83,5;-9,1;8,1;-24,8;65,2;3,9
 08/2023;85,8;88,9;82,7;-12,5;2,6;-26,5;65,7;2,6
 09/2023;86,2;88,8;83,6;-11,6;2,3;-24,6;65,9;11,1
