ifo Beschäftigungsbarometer;;;;;;;
(seit Januar 2002);;;;;;;
Lange Zeitreihen für das ifo Beschäftigungsbarometer für Deutschland;;;;;;;
;;;;;;;
Quelle: ifo Institut;;;;;;;
;;;;;;;
Indexwerte, 2015 = 100, saisonbereinigt;;;;;;;
;;;;;;;
Monat, Jahr;;Verarbeitendes Gewerbe;Bauhauptgewerbe;Handel;Dienstleistungssektor;;
11/2021;103,9;15,4;10,9;8,6;15,8;;
12/2021;103,1;17,9;8,4;6,4;12,7;;
1/2022;102,6;18,6;5,7;5,4;11,0;;
2/2022;104,4;20,5;11,7;8,1;15,6;;
3/2022;101,9;9,5;4,2;3,1;13,3;;
4/2022;102,5;6,2;3,6;4,1;16,6;;
5/2022;103,7;10,4;4,8;2,4;19,6;;
6/2022;102,8;8,9;2,2;2,2;17,1;;
7/2022;101,0;7,2;0,2;-2,0;12,4;;
8/2022;100,9;4,1;2,5;-3,8;13,6;;
9/2022;99,7;2,9;-1,9;-4,8;10,7;;
10/2022;98,2;1,5;-0,2;-4,7;5,4;;
11/2022;99,8;2,6;1,3;-5,4;10,8;;
12/2022;99,5;3,0;-1,0;-1,6;8,7;;
1/2023;100,2;4,5;3,7;-0,6;10,0;;
2/2023;99,5;1,5;0,2;1,1;8,6;;
3/2023;99,8;1,2;1,7;-1,9;10,3;;
4/2023;99,9;-0,8;0,0;-3,9;12,6;;
5/2023;98,0;-1,6;1,0;-7,6;6,6;;
6/2023;98,1;-4,2;-2,7;-5,8;8,1;;
7/2023;96,9;-7,9;-5,0;-6,0;5,4;;
8/2023;96,9;-8,1;-6,1;-9,8;6,6;;
9/2023;95,9;-10,1;-7,0;-8,8;3,7;;
10/2023;96,3;-13,1;-6,3;-9,7;6,4;;
11/2023;96,0;-11,3;-8,0;-9,4;4,8;;
12/2023;96,7;-11,8;-4,1;-7,6;6,7;;
1/2024;95,6;-11,6;-7,2;-11,6;4,0;;
2/2024;95,0;-13,5;-6,5;-12,9;2,6;;
3/2024;96,4;-8,9;-8,3;-9,9;5,3;;
4/2024;95,9;-12,9;-5,6;-11,9;5,6;;
5/2024;96,1;-11,6;-6,9;-10,6;5,6;;
6/2024;95,8;-10,3;-5,7;-12,8;4,1;;
7/2024;95,2;-11,2;-1,3;-15,0;2,4;;
8/2024;94,6;-15,3;-0,4;-16,8;2,6;;
9/2024;94,0;-17,9;0,1;-17,8;1,7;;
10/2024;93,7;-18,7;-0,3;-16,7;0,4;;
11/2024;93,4;-19,1;-2,0;-16,4;-0,2;;
12/2024;92,6;-21,6;-2,2;-16,6;-2,3;;
1/2025;93,5;-21,8;-3,1;-15,6;1,0;;
2/2025;93,1;-19,4;-4,5;-15,9;-1,4;;
3/2025;92,8;-21,0;-1,2;-12,9;-2,7;;
4/2025;93,9;-17,0;-3,4;-11,9;-0,4;;
5/2025;95,1;-14,7;-2,8;-13,6;3,6;;
6/2025;93,6;-20,4;1,4;-10,8;-0,9;;
7/2025;94,0;-18,3;1,5;-14,0;0,4;;
8/2025;93,7;-17,3;0,4;-11,8;-1,4;;
9/2025;92,5;-17,9;1,1;-13,8;-5,3;;
10/2025;93,5;-19,4;-0,4;-14,7;-0,6;;
11/2025;92,5;-21,1;5,2;-14,4;-4,2;;
12/2025;91,9;-21,5;1,7;-16,6;-5,3;;
1/2026;93,4;-20,9;0,9;-15,6;0,0;;
2/2026;93,1;-19,5;2,6;-13,9;-2,4;;
3/2026;93,4;-19,1;0,9;-15,9;-0,7;;
