STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,ACTIVITY,,ADJUSTMENT,,TRANSFORMATION,,TIME_HORIZ,,METHODOLOGY,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,BASE_PER,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-05,,120.7698,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-06,,137.6801,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-07,,117.4887,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-08,,122.0318,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-09,,120.6436,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-10,,118.2459,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-11,,134.2728,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-12,,123.9247,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2021-01,,127.2058,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2021-02,,134.9038,,A,,0,,2,,2015,
